timestamp,pm1,pm2_5,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,luxLevel,motion,battery,gpsLatitude,gpsLongitude,gpsAccuracy
2020-08-10 13:25:01.986000,2.076977014541626,5.486865043640137,25.9841251373291,723,135,31,13,8,6,8,0,1,1,1,0,0,1,0,1,37.20000076293945,31.700000762939453,0.0,None,-10555.0,51.4996121,-0.1789625,12.0
2020-08-10 13:25:40.263000,2.93934965133667,6.560197830200195,34.9483528137207,1058,319,37,11,7,10,5,3,3,2,0,0,1,0,0,3,37.20000076293945,32.400001525878906,0.0,None,32426.0,51.4996963,-0.1796536,15.0
2020-08-10 13:26:14.003000,0.9085718989372253,3.0506772994995117,3.2089498043060303,2,59,178,1,0,0,0,0,0,0,0,0,0,0,0,0,37.70000076293945,31.399999618530273,0.0,None,28688.0,51.499166,-0.1794793,11.0
2020-08-10 13:26:51.630000,0.8496555089950562,1.3945897817611694,1.508299469947815,314,198,3,2,1,1,0,0,0,0,0,0,0,0,0,0,37.900001525878906,30.700000762939453,0.0,None,-31212.0,51.4988801,-0.1798302,17.0
2020-08-10 13:27:28.602000,0.5332303643226624,1.015485405921936,2.339068651199341,177,68,7,3,0,1,0,0,1,0,0,0,0,0,0,0,38.10000228881836,30.899999618530273,0.0,None,27445.0,51.4983011,-0.1793359,13.0
2020-08-10 13:28:01.691000,1.5154950618743896,2.5462589263916016,3.9061105251312256,457,233,7,5,1,1,0,0,1,0,0,0,0,0,0,0,38.29999923706055,30.30000114440918,0.0,None,5855.0,51.4979014,-0.1793035,16.0
2020-08-10 13:28:37.367000,0.21135661005973816,0.43412014842033386,0.44923409819602966,8,60,9,1,0,0,0,0,0,0,0,0,0,0,0,0,38.5,30.5,0.0,None,-16922.0,51.4974695,-0.1792543,12.0
2020-08-10 13:29:12.404000,0.44232386350631714,0.9814778566360474,2.044869899749756,176,45,6,3,2,0,1,1,0,0,0,0,0,0,0,0,38.70000076293945,29.899999618530273,0.0,None,23866.0,51.4971058,-0.1792416,20.0
2020-08-10 13:29:42.901000,0.43618905544281006,1.020630121231079,1.0594695806503296,9,89,32,1,0,0,0,0,0,0,0,0,0,0,0,0,38.79999923706055,29.5,0.0,None,22313.0,51.496956,-0.1789037,17.0
2020-08-10 13:30:18.573000,1.0873866081237793,1.751631259918213,2.054611921310425,507,116,18,2,0,0,1,0,0,0,0,0,0,0,0,0,39.0,30.30000114440918,0.0,None,1923.0,51.4963653,-0.178881,16.0
2020-08-10 13:30:48.424000,1.0195444822311401,1.948661208152771,6.188547611236572,230,170,19,3,1,0,0,2,0,0,0,1,0,0,0,0,39.0,29.80000114440918,0.0,None,1880.0,51.495927,-0.1790386,13.0
2020-08-10 13:31:20.859000,15.130805969238281,29.485309600830078,35.942020416259766,21,5140,447,35,11,1,2,2,2,0,0,0,0,0,1,0,39.5,29.80000114440918,0.0,None,-23445.0,51.4955836,-0.1789124,11.0
2020-08-10 13:31:57.835000,0.2491210401058197,0.5415340662002563,0.6195592880249023,22,96,13,0,1,1,0,0,0,0,0,0,0,0,0,0,40.10000228881836,29.100000381469727,0.0,None,27314.0,51.4954614,-0.1783999,14.0
2020-08-10 13:32:32.874000,0.9442386031150818,1.4066455364227295,1.426867961883545,393,168,6,1,0,0,0,0,0,0,0,0,0,0,0,0,40.29999923706055,29.399999618530273,0.0,None,-23133.0,51.4954529,-0.177704,11.0
2020-08-10 13:33:09.205000,0.07483762502670288,0.09839173406362534,0.09893745929002762,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,27.899999618530273,0.0,None,395.0,51.4953609,-0.1773773,16.0
2020-08-10 13:34:14.737000,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,28.30000114440918,0.0,None,-199.0,51.4946039,-0.177453,15.0
2020-08-10 13:34:47.809000,4.031223773956299,5.016785621643066,6.574435234069824,1561,28,7,3,0,1,0,1,0,0,0,0,0,0,0,0,41.5,28.30000114440918,0.0,None,-20976.0,51.4942901,-0.1773532,15.0
2020-08-10 13:35:27.384000,0.062159113585948944,0.0662129670381546,0.0662129670381546,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.10000228881836,26.399999618530273,0.0,None,15296.0,51.4939668,-0.1770141,19.0
2020-08-10 13:36:05.015000,0.3497496247291565,0.37255939841270447,0.37255939841270447,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,25.0,0.0,None,4910.0,51.4939674,-0.17638,15.0
2020-08-10 13:36:42.641000,0.05951690301299095,0.06339844316244125,0.06339844316244125,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.60000228881836,25.200000762939453,0.0,None,14294.0,51.494077,-0.1757113,12.0
2020-08-10 13:37:18.974000,2.3974668979644775,4.905788898468018,59.30873489379883,1016,25,10,9,3,2,5,5,1,3,0,2,0,2,0,2,42.400001525878906,24.5,0.0,None,-1116.0,51.4941821,-0.1751795,11.0
2020-08-10 13:37:55.951000,1.7003093957901,3.372072458267212,16.654296875,728,9,12,5,4,2,2,2,0,1,0,0,0,0,0,1,41.79999923706055,24.899999618530273,0.0,None,24319.0,51.4939259,-0.1747064,11.0
2020-08-10 13:38:34.225000,2.4089736938476562,3.1750736236572266,4.273712158203125,1129,83,5,2,0,1,0,1,0,0,0,0,0,0,0,0,41.400001525878906,25.5,0.0,None,15654.0,51.4936312,-0.1743933,13.0
2020-08-10 13:39:11.854000,4.382200717926025,6.6707305908203125,38.38007736206055,2322,25,14,9,1,4,5,3,1,1,0,0,0,1,0,3,41.20000076293945,25.5,0.0,None,-31854.0,51.4935761,-0.1743217,14.0
2020-08-10 13:39:50.133000,4.40703010559082,6.890812873840332,64.3855209350586,2115,21,12,5,6,5,3,2,1,1,1,2,2,1,1,2,40.70000076293945,22.399999618530273,0.0,None,-11056.0,51.4936012,-0.1742929,11.0
2020-08-10 13:40:25.835000,4.242258548736572,7.469987392425537,65.37701416015625,1845,16,12,10,7,7,2,3,1,0,0,2,0,2,0,4,40.0,22.200000762939453,0.0,None,-13370.0,51.4935828,-0.174321,15.0
2020-08-10 13:41:04.733000,4.042123794555664,6.1381354331970215,57.10935592651367,1888,20,9,7,5,5,1,1,0,2,0,1,0,0,1,5,39.29999923706055,22.80000114440918,0.0,None,-26609.0,51.4936058,-0.1742372,14.0
